Context,Response
"There are issues from my past that have me very heavily burdened in my heart. I've been torn for so many years and I need help so I can move on with my life.
   I experienced trauma when I was 8 years old and I did come out about it until I was 40.
   Now I know this is what's holding me back on my happiness. I've met a very loving and caring man but because I'm holding on to these things from my past I’m pushing him away.
   How can I get my life back?","You already are doing that! You are reaching out (virtually still counts!). You are accepting your past, you are not denying what happened to you, you are talking about the past. You are already doing a great job of starting this journey. You get your life back by doing things differently.I would think about how you would like to process your past. Do you want to talk to someone? Do you want to write about it? Do you want to pray about it? Do you want to read and research books about trauma? Take some time and think about what you want to do. Think about what would work for you and dive in. I am a Licensed Professional Counselor, so I am biased - but I really believe that counseling works. Having an objective, professional voice that can guide you on this process is so valuable. But please choose what makes you feel comfortable - not what everyone else says. I think you are very brave for reaching out and wanting to work on this. That takes a tremendous amount of courage and strength."
"Often times I find myself thinking scary thoughts and sometimes  I even scare myself into thinking that something bad is going to happen to me. Once it starts, the thought continues going through my head and I can't get it out.  How can I stop these thoughts?","Such a great question! I'm so sorry you are struggling! You may be experiencing Intrusive thoughts.  These are thoughts that seem to come from no where and victimize us.  I can strongly recommend a book called ""When Panic Attacks"" by Dr. David Burns.  It helps you to identify the thoughts, and the help you create ways to counteract them!  There is another technique, called Thought Stopping. Thought Stopping can be as simple as saying ""Stop!"" loudly (if you are alone) or in your head, if you are in public.  It's a quick way to distract you from the distressing thought, and allow you to refocus.  I recommend using this technique, followed by some deep breathing, while visualizing something that helps you feel relaxed (a favorite place, a pet, etc.).  These three things in conjunction can be of great assistance. One key component in addressing anxious thinking is building the skill of relaxation.  I recommend an App called Headspace which teaches relaxation through some simple guided mediation. Super easy to do, and a great way to begin to build relaxation skills.  Plenty of sleep and reducing caffeine intake can also be things to explore. Hope this helps!  "
"There is  just no communication at all between us.  She sleeps constantly all day (not at night).  She acts angry and unfocused and stays in her very messy room all the time. The only time she comes out is to eat. 

She has aches and fatigue, weight gain, hair loss and skin problems. She does not look after her health.

I don't know how to communicate with her.  She is not open to any suggestions. How do I get through to her?","1. She's an adult.2. She lives in your house? She follows your rules.3. What you're describing could be any number of things, but could potentially be a medical issue that needs attention. Thyroid issues, autoimmune diseases - there's a ton of medical possibilities for her symptoms. I'm not a doctor; this is a forum of therapists.4. I recommend the book ""Codependent No More"" which may help you navigate your rocky relationship with your adult daughter. You may be inadvertently making things worse by ""helping"" her which can instead enable her to continue her behaviors. Another book you may find helpful is ""Boundaries: Where you end and I begin"". You cannot control another person, especially an adult. The only person you can control is yourself. Tough love is sometimes needed, and she is an adult - treat her like one. Maybe then she'll act like one. If we were having this conversation in person, you would interrupt me at this point with a ""but..."" and then explain all the reasons why you can't tell her to move out, get a job, get up and cook or clean the house, etc. I already know that you have a myriad of excuses for things being the way they are. Yes, I said excuses instead of reasons, because that's what they are. You may feel stuck and like you have to take care of her, but you have choices - you just may not like them. I know that when children are small, parents' lives are focused around them (some more than others) and decisions are made around what is best for your child. But you said your daughter is an adult. The relationship dynamics must change if the relationship is to be a healthy one. I know how difficult it is to watch your child make life choices that you wouldn't want for them, no matter what that choice may be. As a parent, we want to force them to do what we think is ""the right thing"" but trying to do that only results in frustrations for everyone involved. Whether the issue is a hair color, a tattoo, a lifestyle choice, a job, or choosing not to work or take care of their health, or doing drugs, or drinking - the choice is theirs and theirs alone and so are the consequences of those choices. "
"I've been with him for a couple months. We will talk everyday and he will get mad over something I will say and not talk to me. We have our great moments, but I just need to focus on my personal situations, and I feel he is slowing me down with that. I still wanna be with him, but not now.","It sounds like you're pulling away instead of being honest. If you really want to be with him, why not now? If you don't have time for a relationship, why are you dating at all?I don't understand the whole ""phasing out"" thing that people do these days (or ""ghosting"", where you just stop talking and disappear!). I get the sense that this relationship isn't working for you, but for some reason you're stopping yourself from being honest with yourself and him and just ending it. In the early stage of a relationship (the first year), if it doesn't feel fabulous, it's a good idea to move on. It's not personal. You don't owe this person anything. They deserve someone who's totally into them (and so do you) and you're doing him no favors by hanging on to something that's not amazing or giving him hope that it might work better in the future sometime. You don't have to slowly bow out. It actually creates more hurt than gentle honesty. Maybe people don't know how to say it?""I've decided not to continue with this. I wish you the best."" Life is too short!"
The past always feels much brighter and more beautiful than my present. Everything about what's gone feels so amazing; almost like I'm high off nostalgia. But in the end it just makes me feel sadder knowing that all of the memories (and a close friend that left me) are gone forever. How do I move past that and live more in the present?,Do some self-reflecting as to what areas of your life you'd currently like to develop.The good news is you know how happiness feels.That you were able to create situations and dynamics which produced happiness in your life is good motivation to believe happiness is possible and to try new ways to create this in your life.
"My ex-boyfriend and I have been back and forth for over a year now. He's in his late 20s, divorced for like five years now with two kids. He has a lot of narcissistic behaviors. He lies and cheats, but I love him. I've tried to date other people, but I always go back to him.","There are a lot of pieces to the decision of whether to stay or leave. Can you have open conversations about your concerns? Is he able to listen to that? I'm not sure how you know for sure that he lies and cheats, but does he recognize these things as problems? Which part of you is bigger: the part of you that wants to stay or the part of you that wants to leave? Can you consider what you want, wish for, and desire while also considering the same for him? Can he do that for you?"
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.","For some people, having a sense of belonging takes some time.You mentioned that you have an education and some basic daily needs. I wonder if you may be able to look at your relationship with yourself and what makes you feel happy, safe, and having a sense of accomplishment. If you have those feelings, I wonder how you define trust and who you trust.You say you have a good time with people who are ""supposed to be close,"" so I wonder what keeps them from feeling close. I have also wondering if you have been emotionally hurt in the past, and if so, you may have some protective defenses that you use (maybe on purpose, maybe not) to protect yourself from being hurt again. Remember that this idea comes in degrees where you can be more perfect in certain situations and a little less in others. Being emotionally protected is on a spectrum or continuum, where you can make an infinite amount of adjustments or changes with different people and situations.I also wonder what it is that you want in your ""home,"" and how you define it. Consider giving yourself permission to think about how you would define your perfect home in a world where there were no realistic restrictions (such as money or location). After you have that, consider what parts of that you can have. Perhaps there is a small part that you could make a reality within a week or so.Thank you for reaching out. If this continues to be difficult for you, consider seeing a local mental health professional so you can discuss some more specific details."
"My wife works late most days, so I'm lonely. I love my wife with all my heart, however I don't feel the intimacy we used to have. We don't have sex anymore, which bothers me tremendously. I have become close friends with a coworker, which I know is not helping. Nothing will happen with that, but there’s the thought.","First things first!  Friendships that develop in times of struggle may be a great emotional support, but also become confusing there's sexual attraction. And entertaining a tough is only going to make it a stronger target.  Careful with that friendship! You do not want to fill your marriage's void with another person.  Even when you are in a friend zone and not having intimacy with this person, you may be developing a special bond, sharing interest and activities that may lead to a deeper connection.  Ask yourself how you would feel if your spouse was having a friendship like that.Then try to refocus on your marriage. I suggest being transparent and talking to your wife about your feelings and concerns.  Ask her what you could do to reconnect, make some suggestions and dedicate time to practice them.  Make time in both of your schedules, make an effort to have lunch together, or to text during the day.  Remember that a marriage is like a very good friendship with benefits, but sometimes the responsibility kills the fun.¿Cómo puedo volver a enamorarme de mi esposa?Mi esposa trabaja tarde casi todos los días, la amo con todo mi corazón, pero no siento la intimidad como antes.  Ya no tenemos sexo, lo cual me molesta tremendamente.  Me he acercado a una amistad del trabajo, lo cual no ayuda.  Nada pasara, pero hay pensamientos al respecto.Primero lo primero! Las amistades que se desarrollan en momentos de crisis pueden ser un gran apoyo emocional, pero también pueden convertirse en algo nebuloso cuando hay atracción sexual. Entretener pensamientos al respecto solo lo va a hacer un reto más grande.  ¡Ten cuidado con esa amistad! No quieres llenar el vacío que deja tu matrimonio con esta nueva persona.  Aunque no estés teniendo intimidad con esa persona, puedes estar creando una conexión especial, compartiendo intereses en común y actividades que los unen más aun. Pregúntate como te sentirías si tu esposa tuviera una amistad así.Intenta reenfocarte en tu matrimonio.  Sugiero que seas transparente con tu esposa y le dejes saber tu preocupación y como te sientes con el distanciamiento.  Pregúntale que le gustaría hacer para reconectarse, sugiérele algunas ideas y dediquen tiempo a las mismas.  Hagan tiempo en sus agendas para ustedes, hagan un esfuerzo para almorzar juntos, y comunicarse durante el día, aunque sea con textos.  Recuerda que el matrimonio es como una muy buena amistad con beneficios y muchas veces las responsabilidades matan la diversión."
"I love my boyfriend and everything that leads to sex, but when it comes to the actual penetration, I hate it. I don't know why, but I just want it to be over. I feel like crying. I don't know why I don’t like it because all of my friends enjoy it.","Although I am not entirely sure why you might be struggling in this area, an initial question I have is do you want to be sexually active at this time or is this something that you feel pressured into doing.?  If you feel pressured into being sexually active by your friends or boyfriend it is understandable that you want it to be over.  I would encourage you to ask your boyfriend to be patient with you at this time  until you figure out what is going on.  I encourage you to then think very deeply about what your reservations, if any,  about being sexually active.  Do you fear pregnancy?  Are there problems in the relationship?  Are you afraid of the emotional intimacy? Another question that comes to mind is whether or not you have any history of sexual activity that you did not consent to that might be getting in the way.   When these types of traumatic events occur,  people can essentially become triggered negatively by anything that reminds them of past trauma.  Such events can cause an aversion to sex even if there is now a loving relationship whom one wants to be sexually active with.  If this is the case I strongly recommend individual therapy to begin working through some of these issues. A final area that you might explore would be whether or not you are experiencing pain with penetration.  If so, I would recommend that you schedule an appointment with a gynecologist to rule out any type of medical issues that might be causing these problems.  Although pain can also be associated with emotional issues, it is always good to rule out possible physical causes.  I hope that these ideas help to point you in the right direction.  Take care."
I was with my boyfriend for years on and off. We dated and broke up three times. Since we broke up five months ago I can't move on. I want to get back together but he won't talk to me. What should I do?,"Probably being sad to lose the relationship would be a good next move for you.When a relationship ends the daily life structure changes significantly.  A break up means adjusting to differences in everyday life, not only that the person is no longer connected with us.Since your boyfriend isn't talking to you then you're keeping yourself sadder than necessary to not accept his actions.  There's nothing you or anyone else can do change the fact that when someone decides to stop talking, this person is the only one who's in charge to start talking.Maybe since you've had several breakups w this person that you require more time to pass before you're willing to accept that his changed interest in the relationship is permanent.Be patient with your uncertainty as to whether he will or will not resume the relationship.  Once enough time passes so that you're considerably past the point at which you and he come together, then accepting his leave-taking will feel natural.Right now its very understandable to have hope since you've been on this road before.  In time you'll have your answer as to whether your future is with him or not."
